Record_Tag,Receiver,Vendor,Sender,Name,Location,Reporting_Date,ReqDelivery_Dat,Beginning_PO_Number,Ending_PO_Number,Sequence,Line_Number,Item_Cod,CODE-QA,CODE-QW,CODE-QP,CODE-QD,CODE-QO,CODE-QC,CODE-QX,CODE-OQ,OTHER,UOM,Price,Date_Process
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,88,66,483,,0,0,,65,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,46,41,260,,0,0,,41,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,37,17,60,,0,0,,17,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,90,24,160,,0,0,,24,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,196,59,270,,0,0,,59,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,2,28,170,,0,0,,28,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,178,26,120,,0,0,,26,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,13,22,150,,0,0,,22,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,48,22,70,,0,0,,22,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,5,25,230,,0,0,,25,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,1,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,1,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,1,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,0,0,0,,0,0,,,,CA,,20210827
