DC,LAZY CODE,Date,value
Atlanta,KRFLDG8,9/4/2021,154.3333333
Atlanta,KRGRD24,9/4/2021,119.3333333
Atlanta,KRITL10,9/4/2021,109.3333333
Atlanta,KRROM10,9/4/2021,135.6666667
Atlanta,KRVEG12,9/4/2021,102
Atlanta,KRSPN10,9/4/2021,124.3333333
Atlanta,KRSPR10,9/4/2021,113.6666667
Atlanta,KRSHDGL,9/4/2021,156
Atlanta,KR6SM5,9/4/2021,136.3333333
Atlanta,KR65050,9/4/2021,100
Atlanta,KR6SP6,9/4/2021,202.6666667
Atlanta,KRSHRD8,9/4/2021,522.4
Atlanta,KROSP5,9/4/2021,894
Atlanta,KROSP16,9/4/2021,481.6
Atlanta,KROSM5,9/4/2021,450.8
Atlanta,KROSM16,9/4/2021,280
Atlanta,KROROM,9/4/2021,120
Atlanta,KRO5050,9/4/2021,222.4
Atlanta,KROARU,9/4/2021,278.8
Atlanta,KROKALE,9/4/2021,122
Atlanta,KROPWRG,9/4/2021,179.2
Atlanta,KRO5016,9/4/2021,152.4
Atlanta,KRTNSPN,9/4/2021,432
Atlanta,KRCPKAL,9/4/2021,50
Atlanta,KRARTSN,9/4/2021,50
Atlanta,KRSRM8,9/4/2021,60
Atlanta,D6AMER,9/5/2021,86.66666667
Atlanta,D6CAESR,9/5/2021,147.708
Atlanta,D6LFCSR,9/5/2021,67.716
Atlanta,D62ROM,9/5/2021,107.712
Atlanta,DFAMUCR,9/5/2021,88.308
Atlanta,D6CSPIN,9/5/2021,119
Atlanta,D12SPIN,9/5/2021,75
Atlanta,D6ARUGL,9/5/2021,34.33333333
Atlanta,DMSWGRP,9/5/2021,20
Atlanta,DMMCORN,9/5/2021,33.66666667
Atlanta,DMMAPLC,9/5/2021,20
Atlanta,D610AHW,9/5/2021,73
Atlanta,D10VVEG,9/5/2021,51.66666667
Atlanta,DROMFAM,9/5/2021,52.33333333
Atlanta,D6HRTS,9/5/2021,83.33333333
Atlanta,D6CPBBQ,9/5/2021,54
Atlanta,D6CPCHI,9/5/2021,55.44
Atlanta,DASICHP,9/5/2021,81.972
Atlanta,DSUNKAL,9/5/2021,76.824
Atlanta,D6BUTB,9/5/2021,127.6666667
